1.0000	0.7250	0.5950	0.5660	0.4190	0.3440	0.2240	0.1830	0.5790	0.5320	0.4390	0.4310
0.7250	1.0000	0.7050	0.6240	0.2810	0.3620	0.2810	0.2340	0.4820	0.5710	0.5070	0.4690
0.5950	0.7050	1.0000	0.7060	0.3030	0.3500	0.3530	0.3000	0.4100	0.5010	0.6480	0.5270
0.5660	0.6240	0.7060	1.0000	0.2830	0.3670	0.3600	0.3840	0.3030	0.4400	0.4960	0.5710
0.4190	0.2810	0.3030	0.2830	1.0000	0.6710	0.5480	0.4580	0.4550	0.3470	0.3780	0.3450
0.3440	0.3620	0.3500	0.3670	0.6710	1.0000	0.7830	0.6960	0.3330	0.4440	0.4190	0.4240
0.2240	0.2810	0.3530	0.3600	0.5480	0.7830	1.0000	0.8230	0.2440	0.3520	0.4300	0.4270
0.1830	0.2340	0.3000	0.3840	0.4580	0.6960	0.8230	1.0000	0.1790	0.2720	0.3450	0.4120
0.5790	0.4820	0.4100	0.3030	0.4550	0.3330	0.2440	0.1790	1.0000	0.6630	0.5510	0.4990
0.5320	0.5710	0.5010	0.4400	0.3470	0.4440	0.3520	0.2720	0.6630	1.0000	0.7090	0.6820
0.4390	0.5070	0.6480	0.4960	0.3780	0.4190	0.4300	0.3450	0.5510	0.7090	1.0000	0.7360
0.4310	0.4690	0.5270	0.5710	0.3450	0.4240	0.4270	0.4120	0.4990	0.6820	0.7360	1.0000
1.2600	1.3340	1.4400	1.3760	1.7090	1.9480	2.1170	2.2650	1.1990	1.4320	1.4960	1.5030
1.3380	1.5910	2.0190	2.3640	0.8620	1.2180	1.4450	1.7560	0.5540	0.8900	1.0330	1.1230
