1.00
.44	1.00
.22	.20	1.00
.30	.18	.38	1.00
.27	.27	.21	.08	1.00
.27	.12	.25	.20	.66	1.00
1.33	1.28	1.08	2.65	3.76	2.68
3.52	3.08	2.09	5.36	19.67	9.56
