1.00
.48	1.00
.22	.34	1.00
.27	.22	.39	1.00
.23	.22	.20	.12	1.00
.27	.30	.23	.16	.64	1.00
1.36	1.20	1.19	3.24	3.90	2.72
3.84	3.29	2.60	6.44	20.42	10.07
